"id","price","brand","model","year","mileage","color","state","country","title_status"
179,15290,ford,door,2017,66582,white,texas, usa,clean vehicle
180,26500,ford,door,2015,61436,silver,south carolina, usa,clean vehicle
181,25502,chevrolet,door,2016,58303,silver,michigan, usa,clean vehicle
182,7320,ford,mpv,2017,55618,white,texas, usa,clean vehicle
183,3800,chevrolet,van,2009,261648,white,michigan, usa,clean vehicle
184,24502,chevrolet,door,2016,33045,white,michigan, usa,clean vehicle
185,4140,ford,door,2017,40747,white,texas, usa,clean vehicle
186,1400,dodge,pk,2002,185460,black,michigan, usa,clean vehicle
187,18402,cadillac,srx,2016,26667,gray,michigan, usa,clean vehicle
188,4160,ford,door,2017,37176,white,texas, usa,clean vehicle
189,175,chrysler,door,2000,231240,red,north carolina, usa,salvage insurance
190,24503,chevrolet,colorado,2016,18006,brown,michigan, usa,clean vehicle
191,15840,ford,door,2017,72445,white,texas, usa,clean vehicle
192,20500,ford,door,2014,123355,black,south carolina, usa,clean vehicle
193,21003,chevrolet,"1500",2016,44116,silver,michigan, usa,clean vehicle
194,4200,ford,door,2017,60219,red,texas, usa,clean vehicle
195,17400,ford,door,2011,135077,red,georgia, usa,clean vehicle
196,32001,chevrolet,door,2016,32058,black,michigan, usa,clean vehicle
197,0,ford,mpv,2017,76858,white,texas, usa,clean vehicle
198,15700,ford,cab,2011,309564,white,south carolina, usa,clean vehicle
199,31009,chevrolet,door,2016,33928,white,michigan, usa,clean vehicle
200,3740,ford,wagon,2017,90618,white,texas, usa,clean vehicle
201,5000,dodge,pickup,2001,109360,white,georgia, usa,clean vehicle
202,31002,chevrolet,door,2016,71809,white,michigan, usa,clean vehicle
203,3160,ford,doors,2017,31563,gray,texas, usa,clean vehicle
204,8600,dodge,pickup,2005,219823,gray,south carolina, usa,clean vehicle
205,6000,chevrolet,malibu,2018,42090,gray,texas, usa,clean vehicle
206,12990,ford,door,2017,126523,white,texas, usa,clean vehicle
207,25,chevrolet,vehicl,2020,7232,black,kentucky, usa,salvage insurance
208,13200,buick,encore,2017,60171,black,texas, usa,clean vehicle
209,4410,ford,wagon,2017,209915,white,texas, usa,clean vehicle
210,25,chrysler,door,2005,151815,silver,massachusetts, usa,salvage insurance
211,22500,chevrolet,camaro,2020,13826,green,georgia, usa,clean vehicle
212,7420,ford,mpv,2017,55854,white,texas, usa,clean vehicle
213,13500,ford,door,2016,45757,silver,arizona, usa,clean vehicle
214,15500,chevrolet,trax,2020,16545,white,georgia, usa,clean vehicle
215,3540,ford,door,2017,112893,white,texas, usa,clean vehicle
216,17000,ford,door,2016,126802,no_color,florida, usa,clean vehicle
217,45500,chevrolet,tahoe,2020,13303,white,georgia, usa,clean vehicle
218,4130,ford,door,2017,34061,silver,texas, usa,clean vehicle
219,15700,ford,door,2015,70251,white,arizona, usa,clean vehicle
220,45500,chevrolet,tahoe,2020,13679,gray,georgia, usa,clean vehicle
221,4130,ford,doors,2017,42426,gray,texas, usa,clean vehicle
222,15500,dodge,door,2012,66452,black,pennsylvania, usa,clean vehicle
223,16300,chevrolet,trax,2020,18221,white,georgia, usa,clean vehicle
224,4530,ford,mpv,2017,41455,white,texas, usa,clean vehicle
225,15600,dodge,door,2011,35275,black,pennsylvania, usa,clean vehicle
226,45500,chevrolet,tahoe,2020,13885,white,georgia, usa,clean vehicle
227,4100,ford,door,2017,38815,gray,texas, usa,clean vehicle
228,18200,dodge,door,2011,162281,white,pennsylvania, usa,clean vehicle
229,10200,chevrolet,door,2013,56479,black,texas, usa,clean vehicle
230,4080,ford,doors,2017,61027,black,texas, usa,clean vehicle
231,5700,ford,van,2014,178703,white,florida, usa,clean vehicle
232,10200,chevrolet,"3500",2014,173469,white,texas, usa,clean vehicle
233,5000,ford,door,2017,37321,white,texas, usa,clean vehicle
234,1700,ford,door,2014,112789,white,florida, usa,clean vehicle
235,6200,bmw,door,2011,80394,gray,texas, usa,clean vehicle
236,3650,ford,door,2016,68142,white,texas, usa,clean vehicle
237,10500,dodge,door,2014,74203,white,arizona, usa,clean vehicle
238,43500,chevrolet,"2500",2018,57604,white,georgia, usa,clean vehicle
239,4610,dodge,van,2016,87229,silver,texas, usa,clean vehicle
240,3450,ford,door,2012,90711,white,florida, usa,clean vehicle
241,38500,chevrolet,suburban,2018,11135,silver,georgia, usa,clean vehicle
242,6810,ford,mpv,2016,66781,silver,texas, usa,clean vehicle
243,2900,ford,cargo,2011,190994,white,florida, usa,clean vehicle
244,43500,chevrolet,"2500",2018,56007,white,georgia, usa,clean vehicle
245,4450,ford,mpv,2016,32486,white,texas, usa,clean vehicle
246,5800,ford,door,2011,195908,white,florida, usa,clean vehicle
247,16500,chevrolet,equinox,2018,18020,silver,georgia, usa,clean vehicle
248,4240,dodge,mpv,2016,83262,white,texas, usa,clean vehicle
249,26500,ford,pickup,2008,62015,white,pennsylvania, usa,clean vehicle
250,13700,chevrolet,equinox,2017,36421,silver,georgia, usa,clean vehicle
251,8600,ford,door,2016,73321,white,texas, usa,clean vehicle
252,8000,ford,chassis,2008,132379,white,florida, usa,clean vehicle
253,14200,chevrolet,equinox,2017,28013,silver,georgia, usa,clean vehicle
254,7040,ford,mpv,2016,33291,silver,texas, usa,clean vehicle
255,4700,ford,chassis,2005,225236,no_color,florida, usa,clean vehicle
256,30851,chevrolet,door,2016,43176,red,georgia, usa,clean vehicle
257,4880,ford,mpv,2016,36876,silver,texas, usa,clean vehicle
258,14500,dodge,pickup,2006,111782,silver,pennsylvania, usa,clean vehicle
259,7600,chevrolet,door,2017,110489,brown,nebraska, usa,clean vehicle
260,13270,ford,door,2016,84035,white,texas, usa,clean vehicle
261,12800,ford,door,2012,131101,gray,arizona, usa,clean vehicle
262,33000,chevrolet,"1500",2018,52521,white,ontario, canada,clean vehicle
263,9280,ford,door,2016,101380,white,texas, usa,clean vehicle
264,900,ford,van,2003,142027,white,florida, usa,clean vehicle
265,7560,ford,door,2016,111476,gray,texas, usa,clean vehicle
266,19500,ford,drw,2011,76897,white,pennsylvania, usa,clean vehicle
267,17100,chevrolet,malibu,2019,15780,white,washington, usa,clean vehicle
268,8020,ford,door,2016,31944,white,texas, usa,clean vehicle
269,10300,ford,fiesta,2019,18937,black,missouri, usa,clean vehicle
270,22600,chevrolet,van,2019,9706,white,washington, usa,clean vehicle
271,10480,ford,doors,2016,57289,gray,texas, usa,clean vehicle
272,10300,ford,fiesta,2019,19956,silver,missouri, usa,clean vehicle
273,22700,chevrolet,van,2019,6075,white,washington, usa,clean vehicle
274,7410,ford,door,2016,21034,gray,texas, usa,clean vehicle
